Gene.stable.ID	Gene.name	Gene.type	Gene.description	Chromosome.scaffold.name	logFC	logCPM	LR	PValue	FDR
ENSG00000197646	PDCD1LG2	protein_coding	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	9	2.93345849421472	0.0699886957938102	58.8119221013628	1.73486881974845e-14	2.65157350410354e-10
ENSG00000075624	ACTB	protein_coding	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	7	0.915249359792559	11.8353069542198	52.5351329683133	4.22619927085431e-13	3.22966148278687e-09
ENSG00000124831	LRRFIP1	protein_coding	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	2	0.791589817790771	8.02102265355955	46.2585978236786	1.03630794446452e-11	5.27964354106523e-08
ENSG00000151690	MFSD6	protein_coding	major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]	2	0.841677522494519	6.18500061562903	45.423032252762	1.58756443581104e-11	6.06608370923397e-08
ENSG00000157654	PALM2AKAP2	protein_coding	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	9	2.4912985960757	5.55327645689946	43.4721763467033	4.30030511066898e-11	7.53720215032406e-08
ENSG00000213366	GSTM2	protein_coding	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	1	-2.2251993419499	4.11737438914681	43.420382921754	4.4156454862245e-11	7.53720215032406e-08
ENSG00000105281	SLC1A5	protein_coding	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	19	1.96143708755221	4.55086028197077	43.334773646681	4.61312021548559e-11	7.53720215032406e-08
ENSG00000165806	CASP7	protein_coding	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	10	1.2906160585855	4.91832952241342	43.2465054490172	4.8259886753923e-11	7.53720215032406e-08
ENSG00000070018	LRP6	protein_coding	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]	12	-2.89896995530681	2.11539414441237	43.2151947118351	4.90383736367239e-11	7.53720215032406e-08
ENSG00000164111	ANXA5	protein_coding	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	4	1.61593182914378	6.67572289001509	43.2042150707783	4.93143296933005e-11	7.53720215032406e-08
ENSG00000182718	ANXA2	protein_coding	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	15	1.40776990253584	7.17525859096746	42.7720828171033	6.15036514440278e-11	8.54565280609565e-08
ENSG00000136560	TANK	protein_coding	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	2	0.729019555645728	5.57120973267692	41.4639815320894	1.20062782782299e-10	1.52919964337055e-07
ENSG00000137078	SIT1	protein_coding	signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710]	9	0.974338428002779	5.80135466163913	40.4793552064332	1.98704516357678e-10	2.33615371385443e-07
ENSG00000171621	SPSB1	protein_coding	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	1	2.13367342083393	3.12876019683119	39.6343277194384	3.06252532885402e-10	3.34340265187178e-07
ENSG00000189159	JPT1	protein_coding	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	17	1.36471387342655	5.39855436814691	38.2855424808147	6.11137498779875e-10	6.22708368756774e-07
ENSG00000144354	CDCA7	protein_coding	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]	2	2.66078083021075	4.22985310633782	37.9426714284751	7.28542214138671e-10	6.95939950055966e-07
ENSG00000131473	ACLY	protein_coding	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	17	0.700552337167769	7.48228172965764	36.4036389332862	1.60403462950709e-09	1.36843815878172e-06
ENSG00000185651	UBE2L3	protein_coding	ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]	22	0.838339559204128	6.46205040538887	36.3944526600976	1.61161259212713e-09	1.36843815878172e-06
ENSG00000068366	ACSL4	protein_coding	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	X	1.1192062731452	5.23445319201716	35.9197393073863	2.05615048173766e-09	1.65401073488834e-06
ENSG00000105011	ASF1B	protein_coding	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	19	2.18128349900089	3.00188026394449	35.2480621032561	2.9027079017873e-09	2.21824937854585e-06
ENSG00000097021	ACOT7	protein_coding	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	1	1.92092838260237	3.95878386725061	35.0886530355876	3.15031152587291e-09	2.29282673149722e-06
ENSG00000100298	APOBEC3H	protein_coding	apolipoprotein B mRNA editing enzyme catalytic subunit 3H [Source:HGNC Symbol;Acc:HGNC:24100]	22	1.95504256291809	3.57882199283046	34.8545897846285	3.55271054077213e-09	2.38133562215157e-06
ENSG00000160877	NACC1	protein_coding	nucleus accumbens associated 1 [Source:HGNC Symbol;Acc:HGNC:20967]	19	0.763001183951356	6.03431365231192	34.7836296102955	3.68458674827931e-09	2.38133562215157e-06
ENSG00000198648	STK39	protein_coding	serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]	2	0.952148655496101	5.49458195006077	34.7549128226979	3.7393388466133e-09	2.38133562215157e-06
ENSG00000007968	E2F2	protein_coding	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	1	3.02255438483302	3.77497741969168	34.6010352121568	4.04691015432019e-09	2.40133969677381e-06
ENSG00000185880	TRIM69	protein_coding	tripartite motif containing 69 [Source:HGNC Symbol;Acc:HGNC:17857]	15	0.844642421264851	6.20294124302006	34.5828090341446	4.0849798558047e-09	2.40133969677381e-06
ENSG00000117450	PRDX1	protein_coding	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	1	0.929056027974884	5.97296967762801	34.2787625781647	4.77564871101351e-09	2.70337092219002e-06
ENSG00000143799	PARP1	protein_coding	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	1	0.692952511584407	7.51755641634295	33.9434840148524	5.67363781513994e-09	3.01287638776491e-06
ENSG00000117226	GBP3	protein_coding	guanylate binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4184]	1	0.8106318326196	5.93546656144794	33.9287866319747	5.71665894040712e-09	3.01287638776491e-06
ENSG00000021355	SERPINB1	protein_coding	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	6	0.710216465521611	6.72659359237884	33.7384987247573	6.30406527315539e-09	3.21171112116357e-06
